Serial Episode, Thumbnail Link, Video Link, Genre
Arundhati 13-05-2019 Sun TV Serial Episode 01,https://s1-ssl.dmcdn.net/v/Q3VlS1SwAhRZJKJFs,plugin://plugin.video.dailymotion_com/?url=k1DHvqf5oju5gwtA7W4&mode=playVideo,Arundhati
Arundhati 14-05-2019 Sun TV Serial Episode 02,https://s2-ssl.dmcdn.net/v/Q3w0s1StFDA7oQo4L,plugin://plugin.video.dailymotion_com/?url=x78be46&mode=playVideo,Arundhati
Arundhati 15-05-2019 Sun TV Serial Episode 03,https://s1-ssl.dmcdn.net/v/Q4y3D1SwjhpgMy4ZD,plugin://plugin.video.dailymotion_com/?url=k6WTjrgdLdqsRltBIip&mode=playVideo,Arundhati
Arundhati 16-05-2019 Sun TV Serial Episode 04,https://s1-ssl.dmcdn.net/v/Q5DT91SwdtKDnjWyk,plugin://plugin.video.dailymotion_com/?url=kEVRygGqkNwZImtC0Qh&mode=playVideo,Arundhati
Arundhati 17-05-2019 Sun TV Serial Episode 05,https://s2-ssl.dmcdn.net/v/Q5rap1SweByHZu4dV,plugin://plugin.video.dailymotion_com/?url=k6gZMdyuvFtefvtCHAL&mode=playVideo,Arundhati
Arundhati 18-05-2019 Sun TV Serial Episode 06,https://s1-ssl.dmcdn.net/v/Q6GfA1SwW6zxSn9kC,plugin://plugin.video.dailymotion_com/?url=x78om6i&mode=playVideo,Arundhati
Arundhati 20-05-2019 Sun TV Serial Episode 07,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=kwYPObA52ERcKgtEDCt&mode=playVideo,Arundhati
Arundhati 21-05-2019 Sun TV Serial Episode 08,https://s2-ssl.dmcdn.net/v/Q8Fy51Svd6snw2-HN,plugin://plugin.video.dailymotion_com/?url=k4YUcOpvzFPoArtFm4J&mode=playVideo,Arundhati
Arundhati 22-05-2019 Sun TV Serial Episode 09,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k4kvyDFeijMUa3tG43B&mode=playVideo,Arundhati
Arundhati 23-05-2019 Sun TV Serial Episode 10,https://s2-ssl.dmcdn.net/v/Q9GJR1SvkFOsB3Bwq,plugin://plugin.video.dailymotion_com/?url=x795fx7&mode=playVideo,Arundhati
Arundhati 24-05-2019 Sun TV Serial Episode 11,https://s1-ssl.dmcdn.net/v/Q9u5-1Sw2bem02JK3,plugin://plugin.video.dailymotion_com/?url=x798xoe&mode=playVideo,Arundhati
Arundhati 25-05-2019 Sun TV Serial Episode 12,https://s2-ssl.dmcdn.net/v/QAU0g1SwP5Pf3uNyI,plugin://plugin.video.dailymotion_com/?url=x79c9ii&mode=playVideo,Arundhati
