Serial Episode, Thumbnail Link, Video Link, Genre
1. Chithi 2 01-09-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=x7vwjtc&mode=playVideo, Chithi 2
2. Chithi 2 02-09-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=x7vx8di&mode=playVideo, Chithi 2
3. Chithi 2 03-09-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=x7vy3ri&mode=playVideo, Chithi 2
4. Chithi 2 04-09-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=x7vyxm7&mode=playVideo, Chithi 2
5. Chithi 2 07-09-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=x7w0t6v&mode=playVideo, Chithi 2
6. Chithi 2 08-09-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=x7w1mth&mode=playVideo, Chithi 2
7. Chithi 2 09-09-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=x7w2kv6&mode=playVideo, Chithi 2
8. Chithi 2 10-09-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=x7w3ju8&mode=playVideo, Chithi 2
9. Chithi 2 11-09-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=x7w4q1x&mode=playVideo, Chithi 2
10. Chithi 2 14-09-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=ky6MBSVNNxO5Z2wiUAg&mode=playVideo, Chithi 2
11. Chithi 2 15-09-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=x7w86m2&mode=playVideo, Chithi 2
12. Chithi 2 16-09-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=ke04CChLhAP9rjwjfWs&mode=playVideo, Chithi 2
13. Chithi 2 17-09-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=x7w9z8d&mode=playVideo, Chithi 2
14. Chithi 2 18-09-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=x7wayq3&mode=playVideo, Chithi 2
15. Chithi 2 21-09-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=kLcFWbyszq0ovjwk1nq&mode=playVideo, Chithi 2
16. Chithi 2 22-09-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=x7wdtco&mode=playVideo, Chithi 2
17. Chithi 2 23-09-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=x7wem65&mode=playVideo, Chithi 2
18. Chithi 2 25-09-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k7ccsrIwVdhvBHwkGN0&mode=playVideo, Chithi 2
19. Chithi 2 28-09-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k5mkUm1RRp1Zpewl5rN&mode=playVideo, Chithi 2
20. Chithi 2 29-09-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k3jn7Jrqrrao6qwlfGs&mode=playVideo, Chithi 2
21. Chithi 2 01-10-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k5qLcMww0JsvKqwlyNy&mode=playVideo, Chithi 2
22. Chithi 2 06-10-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k2Xih6BN3Xna8HwmcuB&mode=playVideo, Chithi 2
23. Chithi 2 07-10-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k6gJadgjQFDsdlwmlTj&mode=playVideo, Chithi 2
24. Chithi 2 08-10-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k7kVB09L0Bf9GYwmvrk&mode=playVideo, Chithi 2
25. Chithi 2 09-10-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=x7wqglb&mode=playVideo, Chithi 2
26. Chithi 2 10-10-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k4V1zvXlxz7SjJwmMRA&mode=playVideo, Chithi 2
27. Chithi 2 11-10-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k1CNRU2NpsU2gAwmSQH&mode=playVideo, Chithi 2
28. Chithi 2 12-10-2020 - Sun TV Serial,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k7f3dX4TlGlbo8wn1fk&mode=playVideo, Chithi 2
29. Chithi 2 13-10-2020 - Sun TV Serial 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k3SZKICtBH6zS0wnaUU&mode=playVideo, Chithi 2
Chithi 2 14-10-2020 - Sun TV Serial 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k1KbuH3nRUchMwwnkfV&mode=playVideo, Chithi 2
Chithi 2 15-10-2020 - Sun TV Serial 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k5aXDxgNhX4n7nwnuoT&mode=playVideo, Chithi 2
Chithi 2 16-10-2020 - Sun TV Serial 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k3ZALKKcJMo0FawnD5Q&mode=playVideo, Chithi 2
Chithi 2 17-10-2020 - Sun TV Serial 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k5jbz9ij0Q6kFMwnKsa&mode=playVideo, Chithi 2
Chithi 2 18-10-2020 - Sun TV Serial 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k5uEkvbDqfLZKswnQKo&mode=playVideo, Chithi 2
Chithi 2 19-10-2020 - Sun TV Serial 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k3Iptg4vWvkKV7wnZEQ&mode=playVideo, Chithi 2
Chithi 2 20-10-2020 - Sun TV Serial 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k3cW8vmohfj4pMwo9mV&mode=playVideo, Chithi 2
Chithi 2 21-10-2020 - Sun TV Serial 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k3btNvMOyk276Twokk3&mode=playVideo, Chithi 2
Chithi 2 22-10-2020 - Sun TV Serial 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k4tbH7xjfNhOY2wovWv&mode=playVideo, Chithi 2
Chithi 2 23-10-2020 - Sun TV Serial 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k6Kfr6s4YuRveOwoFHJ&mode=playVideo, Chithi 2
