Serial Episode, Thumbnail Link, Video Link, Genre
2018.10.01-Pandian Stores 01-10-2018 Vijay TV Episode 01,https://s1.dmcdn.net/v/OhnXz1TsKBQ68GzYs,plugin://plugin.video.dailymotion_com/?url=kywTtxuJZ1UfTcs1DFX&mode=playVideo,Pandian Stores
2018.11.05-Pandian Stores 05-11-2018 Vijay TV Episode 26,https://s2.dmcdn.net/v/OvVhw1TsKA3umeLwI,plugin://plugin.video.dailymotion_com/?url=k6HKQZqjhi6OuOsgJoS&mode=playVideo,Pandian Stores
2018.11.08-Pandian Stores 08-11-2018 Vijay TV Episode 28,https://s2.dmcdn.net/v/OwW9I1TsCyj_2Hq76,plugin://plugin.video.dailymotion_com/?url=x6wuyj6&mode=playVideo,Pandian Stores
2018.11.09-Pandian Stores 09-11-2018 Vijay TV Episode 29,https://s2.dmcdn.net/v/Ow-cG1TsK9vJO3ZS5,plugin://plugin.video.dailymotion_com/?url=k5OkPBwjRPwhsisimxa&mode=playVideo,Pandian Stores
2018.11.12-Pandian Stores 12-11-2018 Vijay TV Episode 30,https://s2.dmcdn.net/v/OxsxK1TsC_lRkYCOy,plugin://plugin.video.dailymotion_com/?url=k4h5jWjX1gQUdrsjkyw&mode=playVideo,Pandian Stores
2018.11.13-Pandian Stores 13-11-2018 Vijay TV Episode 31,https://s1.dmcdn.net/v/OyDiN1TsK9mm9UXSZ,plugin://plugin.video.dailymotion_com/?url=k15SPyQWnu2LDosjIOz&mode=playVideo,Pandian Stores
2018.11.14-Pandian Stores 14-11-2018 Vijay TV Episode 32,https://s2.dmcdn.net/v/OyZ9d1TsK9jW7BrsQ,plugin://plugin.video.dailymotion_com/?url=k19WfZ7D23znWTsk5G7&mode=playVideo,Pandian Stores
2018.11.15-Pandian Stores 15-11-2018 Vijay TV Episode 33,https://s2.dmcdn.net/v/Oywx11TsK9gZgFN3y,plugin://plugin.video.dailymotion_com/?url=k5fbm88mzAQlNAskv0B&mode=playVideo,Pandian Stores
2018.11.16-Pandian Stores 16-11-2018 Vijay TV Episode 34,https://s1.dmcdn.net/v/OzFf61TsK9dbiYhGj,plugin://plugin.video.dailymotion_com/?url=k5LxW8XsNSJ1hdskR5s&mode=playVideo,Pandian Stores
2018.11.19-Pandian Stores 19-11-2018 Vijay TV Episode 35,https://s2.dmcdn.net/v/O-Eu_1TsK9ZU9ZcAk,plugin://plugin.video.dailymotion_com/?url=k7qqZaaKz6G3RXslWtV&mode=playVideo,Pandian Stores
2018.11.20-Pandian Stores 20-11-2018 Vijay TV Episode 36,https://s1.dmcdn.net/v/O-dw91TsK9WYgMmst,plugin://plugin.video.dailymotion_com/?url=k4vvxVy9GHMO4ysmn8J&mode=playVideo,Pandian Stores
2018.11.21-Pandian Stores 21-11-2018 Vijay TV Episode 37,https://s1.dmcdn.net/v/O_1fJ1TsK9TRQu8hz,plugin://plugin.video.dailymotion_com/?url=k4gUYFwnertu9bsmOz1&mode=playVideo,Pandian Stores
2018.11.22-Pandian Stores 22-11-2018 Vijay TV Episode 38,https://s1.dmcdn.net/v/O_QA01TsK9Pv-j-Gw,plugin://plugin.video.dailymotion_com/?url=k5qPx3wltQHN0ksneGk&mode=playVideo,Pandian Stores
2018.11.23-Pandian Stores 23-11-2018 Vijay TV Episode 39,https://s1.dmcdn.net/v/O_qET1TsK9N8r-lJ5,plugin://plugin.video.dailymotion_com/?url=k6zwJOItekTb6lsnGsB&mode=playVideo,Pandian Stores
2018.11.26-Pandian Stores 26-11-2018 Vijay TV Episode 40,https://s2.dmcdn.net/v/P0-h41TsK9Jn5ok8E,plugin://plugin.video.dailymotion_com/?url=k3ZRSZnOhE8eVFsoXMU&mode=playVideo,Pandian Stores
2018.11.27-Pandian Stores 27-11-2018 Vijay TV Episode 41,https://s2.dmcdn.net/v/P1RoW1TsK9FDkAo_-,plugin://plugin.video.dailymotion_com/?url=k5n7qe3SRZOwoAspsOs&mode=playVideo,Pandian Stores
2018.11.28-Pandian Stores 28-11-2018 Vijay TV Episode 42,https://s1.dmcdn.net/v/P1uP81TsCw3igHMno,plugin://plugin.video.dailymotion_com/?url=k3tgJw0DwQPMQsspXi8&mode=playVideo,Pandian Stores
2018.11.29-Pandian Stores 29-11-2018 Vijay TV Episode 43,https://s1.dmcdn.net/v/P2HFV1TsK98iRFjIy,plugin://plugin.video.dailymotion_com/?url=kwgLm5aMZ3pSyosqnLN&mode=playVideo,Pandian Stores
2018.11.30-Pandian Stores 30-11-2018 Vijay TV Episode 44,https://s1.dmcdn.net/v/P2d-M1TsK95kqNr-f,plugin://plugin.video.dailymotion_com/?url=k3dSEEInqPYvAfsqLZA&mode=playVideo,Pandian Stores
2018.12.03-Pandian Stores 03-12-2018 Vijay TV Episode 45,https://s1.dmcdn.net/v/P3iJB1TsK91rTWHe7,plugin://plugin.video.dailymotion_com/?url=k4rmoP6EUkY9rzsrWNt&mode=playVideo,Pandian Stores
2018.12.04-Pandian Stores 04-12-2018 Vijay TV Episode 46,https://s1.dmcdn.net/v/P48NL1TsK8-aZdCs9,plugin://plugin.video.dailymotion_com/?url=k5HjQFm9cUyZfRssqHz&mode=playVideo,Pandian Stores
2018.12.05-Pandian Stores 05-12-2018 Vijay TV Episode 47,https://s1.dmcdn.net/v/P4cK01TsK8xar3Sey,plugin://plugin.video.dailymotion_com/?url=k2Ot3cfAidjtFPssWC4&mode=playVideo,Pandian Stores
2018.12.06-Pandian Stores 06-12-2018 Vijay TV Episode 48,https://s1.dmcdn.net/v/P52va1TsGaZV-LxCu,plugin://plugin.video.dailymotion_com/?url=kui0TytG5OcNZtstr4E&mode=playVideo,Pandian Stores
2018.12.07-Pandian Stores 07-12-2018 Vijay TV Episode 49,https://s1.dmcdn.net/v/P5Wzc1TsK8qEDm-KC,plugin://plugin.video.dailymotion_com/?url=k4WgfX8gQBHH1RstX6K&mode=playVideo,Pandian Stores
2018.12.10-Pandian Stores 10-12-2018 Vijay TV Episode 50,https://s1.dmcdn.net/v/P6Ssc1TsK8ncb6Pjw,plugin://plugin.video.dailymotion_com/?url=k816uhj1f0eZ5esuYVo&mode=playVideo,Pandian Stores
2018.12.11-Pandian Stores 11-12-2018 Vijay TV Episode 51,https://s1.dmcdn.net/v/P6tep1TsK8kALWP7u,plugin://plugin.video.dailymotion_com/?url=kEjAbT3orCIkEgsvrsT&mode=playVideo,Pandian Stores
2018.12.12-Pandian Stores 12-12-2018 Vijay TV Episode 52,https://s2.dmcdn.net/v/P7GYF1TsK8iyoZ9YL,plugin://plugin.video.dailymotion_com/?url=k3tq09WbbTQLT1svRZJ&mode=playVideo,Pandian Stores
2018.12.13-Pandian Stores 13-12-2018 Vijay TV Episode 53,https://s1.dmcdn.net/v/P7caV1TsK8epjqc2k,plugin://plugin.video.dailymotion_com/?url=k3DxWH4pUifPWvswftt&mode=playVideo,Pandian Stores
2018.12.14-Pandian Stores 14-12-2018 Vijay TV Episode 54,https://s1.dmcdn.net/v/P7_oY1TsK8bE9mf3W,plugin://plugin.video.dailymotion_com/?url=k2P3rOekFknBDlswGlA&mode=playVideo,Pandian Stores
2018.12.17-Pandian Stores 17-12-2018 Vijay TV Episode 55,https://s1.dmcdn.net/v/P8wLw1TsK8XAwfLF5,plugin://plugin.video.dailymotion_com/?url=k6pyE1NeQuVYIosxGJQ&mode=playVideo,Pandian Stores
2018.12.18-Pandian Stores 18-12-2018 Vijay TV Episode 56,https://s2.dmcdn.net/v/P9GXZ1TsBElmpePPv,plugin://plugin.video.dailymotion_com/?url=k59ss8UkL4WYvOsy4nh&mode=playVideo,Pandian Stores
2018.12.19-Pandian Stores 19-12-2018 Vijay TV Episode 57,https://s1.dmcdn.net/v/P9d6w1TsDUfdoAhJf,plugin://plugin.video.dailymotion_com/?url=kLpgvpOu7ESDRAsysrg&mode=playVideo,Pandian Stores
2018.12.20-Pandian Stores 20-12-2018 Vijay TV Episode 58,https://s1.dmcdn.net/v/PA1I91TsDVl0R4Yiv,plugin://plugin.video.dailymotion_com/?url=k5AtGlXUs91vEGsyUkx&mode=playVideo,Pandian Stores
2018.12.21-Pandian Stores 21-12-2018 Vijay TV Episode 58,https://s2.dmcdn.net/v/PAM541TsDYAbf2SLH,plugin://plugin.video.dailymotion_com/?url=k33cPxD8T4sRb4szguo&mode=playVideo,Pandian Stores
2018.12.24-Pandian Stores 24-12-2018 Vijay TV Episode 59,https://s2.dmcdn.net/v/PBCNJ1TsK8JTbQHYG,plugin://plugin.video.dailymotion_com/?url=k74OL0yPh2hikBsAckH&mode=playVideo,Pandian Stores
2018.12.25-Pandian Stores 25-12-2018 Vijay TV Episode 60,https://s2.dmcdn.net/v/PBV9C1TsBEyI8t6wl,plugin://plugin.video.dailymotion_com/?url=k5rdKxoftSuGIosAwlm&mode=playVideo,Pandian Stores
2018.12.26-Pandian Stores 26-12-2018 Vijay TV Episode 61,https://s2.dmcdn.net/no-such-asset.jpg,plugin://plugin.video.dailymotion_com/?url=k1WEhtwuec5QwxsARuw&mode=playVideo,Pandian Stores
