Serial Episode, Thumbnail Link, Video Link, Genre
20180917-17-09-2018 Raja Rani Vijay TV Serial Episode 340,https://s2-ssl.dmcdn.net/v/OciBO1SwoLdIJtVXx,plugin://plugin.video.dailymotion_com/?url=k1agrzdp7u8iXirW2ZG&mode=playVideo,Raja Rani
20180918-18-09-2018 Raja Rani Vijay TV Serial Episode 341,https://s2-ssl.dmcdn.net/v/Oc_Rd1SwoLbeAJNzd,plugin://plugin.video.dailymotion_com/?url=k63UHW1DkPLwUErWnvF&mode=playVideo,Raja Rani
20180919-19-09-2018 Raja Rani Vijay TV Serial Episode 342,https://s2-ssl.dmcdn.net/v/OdNRf1SwoLWMXZAx1,plugin://plugin.video.dailymotion_com/?url=k2PhN5BFnkGtBRrWN5f&mode=playVideo,Raja Rani
20180920-20-09-2018 Raja Rani Vijay TV Serial Episode 343,https://s1-ssl.dmcdn.net/v/OdklI1SwoLRXtBMAf,plugin://plugin.video.dailymotion_com/?url=k56QCIpnoP7n1wrXbV0&mode=playVideo,Raja Rani
20180921-21-09-2018 Raja Rani Vijay TV Serial Episode 344,https://s1-ssl.dmcdn.net/v/OeFYO1SwoLObkmmbI,plugin://plugin.video.dailymotion_com/?url=k3yJknR4G3fg4VrXKRO&mode=playVideo,Raja Rani
20180924-24-09-2018 Raja Rani Vijay TV Serial Episode 345,https://s2-ssl.dmcdn.net/v/OfBqi1SwoLKyYjVP1,plugin://plugin.video.dailymotion_com/?url=k6DYwa9MfwE119rYN6A&mode=playVideo,Raja Rani
20180925-25-09-2018 Raja Rani Vijay TV Serial Episode 346,https://s2-ssl.dmcdn.net/v/OfccY1SwoLHWoIiCS,plugin://plugin.video.dailymotion_com/?url=khWxB4iQ33cij8rZfDI&mode=playVideo,Raja Rani
20180926-26-09-2018 Raja Rani Vijay TV Serial Episode 347,https://s1-ssl.dmcdn.net/v/Og0Lj1SwkX6tX0b_l,plugin://plugin.video.dailymotion_com/?url=k6iHhl9AXMIjaHrZH41&mode=playVideo,Raja Rani
20180927-27-09-2018 Raja Rani Vijay TV Serial Episode 348,https://s2-ssl.dmcdn.net/v/OgSIM1SwnxsVPy9Q-,plugin://plugin.video.dailymotion_com/?url=k3gJddiFJqOPQ3s0aQm&mode=playVideo,Raja Rani
20180928-28-09-2018 Raja Rani Vijay TV Serial Episode 349,https://s1-ssl.dmcdn.net/v/OgoXE1SwoL3WJXnzH,plugin://plugin.video.dailymotion_com/?url=k1KHFYDGAothjps0yx8&mode=playVideo,Raja Rani
20181001-01-10-2018 Raja Rani Vijay TV Serial Episode 350,https://s1-ssl.dmcdn.net/v/OhiDd1SwoL1nbQI27,plugin://plugin.video.dailymotion_com/?url=k5ao1gQ12Hd68Vs1y0D&mode=playVideo,Raja Rani
20181003-03-10-2018 Raja Rani Vijay TV Serial Episode 352,https://s2-ssl.dmcdn.net/v/OiTcY1SwoKyuwK4jd,plugin://plugin.video.dailymotion_com/?url=k2vaNUFFVh2u0Cs2oDw&mode=playVideo,Raja Rani
20181004-04-10-2018 Raja Rani Vijay TV Serial Episode 353,https://s2-ssl.dmcdn.net/v/Oj8Fl1SwoKvHLBxr3,plugin://plugin.video.dailymotion_com/?url=k4o2IKzRsg93Ats384L&mode=playVideo,Raja Rani
20181005-05-10-2018 Raja Rani Vijay TV Serial Episode 354,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k46krzIlvI4jWGs3R3G&mode=playVideo,Raja Rani
20181008-08-10-2018 Raja Rani Vijay TV Serial Episode 355,https://s1-ssl.dmcdn.net/v/Ol7bn1SwoKoH-xQJO,plugin://plugin.video.dailymotion_com/?url=k1m3qdZQsWV4RYs5jLH&mode=playVideo,Raja Rani
20181009-09-10-2018 Raja Rani Vijay TV Serial Episode 356,https://s1-ssl.dmcdn.net/v/OlWS81SwoKlzJEmah,plugin://plugin.video.dailymotion_com/?url=k3uDQ8kWBaE8tTs5Kfm&mode=playVideo,Raja Rani
20181010-10-10-2018 Raja Rani Vijay TV Serial Episode 357,https://s1-ssl.dmcdn.net/v/OlwGz1SwoKjumL1gf,plugin://plugin.video.dailymotion_com/?url=k46v5TjUI9vfrHs6bLv&mode=playVideo,Raja Rani
20181011-11-10-2018 Raja Rani Vijay TV Serial Episode 358,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=kQaZzDC3SaHsy2s6Fmm&mode=playVideo,Raja Rani
20181012-12-10-2018 Raja Rani Vijay TV Serial Episode 359,https://s2-ssl.dmcdn.net/v/OmmoG1SwoKd0X_d0X,plugin://plugin.video.dailymotion_com/?url=k6w5C0T3J8fAm3s77Rm&mode=playVideo,Raja Rani
20181015-15-10-2018 Raja Rani Episode 360 Vijay TV Program,https://s2-ssl.dmcdn.net/v/Onswl1SwizZ75gGS1,plugin://plugin.video.dailymotion_com/?url=k3uORywznlM6l0s8kAD&mode=playVideo,Raja Rani
20181016-16-10-2018 Raja Rani Episode 361 Vijay TV Program,https://s1-ssl.dmcdn.net/v/OoGDI1SwoKWZbE4dw,plugin://plugin.video.dailymotion_com/?url=k4TIZ1lNuW2mHss8Lxo&mode=playVideo,Raja Rani
20181017-17-10-2018 Raja Rani Episode 362 Vijay TV Program,https://s2-ssl.dmcdn.net/v/OogW81SwoKTv1EoDf,plugin://plugin.video.dailymotion_com/?url=k2NPe6WZ4SvyhGs9dyw&mode=playVideo,Raja Rani
20181018-18-10-2018 Raja Rani Episode 363 Vijay TV Program,https://s1-ssl.dmcdn.net/v/Op7Kg1SwoKQboCOnb,plugin://plugin.video.dailymotion_com/?url=k6CzoAiZuEAs4ns9Igy&mode=playVideo,Raja Rani
20181019-19-10-2018 Raja Rani Episode 364 Vijay TV Program,https://s1-ssl.dmcdn.net/v/OpXw91SwoKN-2Bf-L,plugin://plugin.video.dailymotion_com/?url=k6Zxhukv8VF6aHsaaAV&mode=playVideo,Raja Rani
20181022-22-10-2018 Raja Rani Episode 365 Vijay TV Program,https://s1-ssl.dmcdn.net/v/OqZ5s1SwoKITjtqNv,plugin://plugin.video.dailymotion_com/?url=k7qE4dXj8Cu6Plsbi3c&mode=playVideo,Raja Rani
20181023-23-10-2018 Raja Rani Episode 366 Vijay TV Program,https://s2-ssl.dmcdn.net/v/Oq-Qh1SwoKB0micjv,plugin://plugin.video.dailymotion_com/?url=k2sQPY1lCcRTZrsbLar&mode=playVideo,Raja Rani
20181024-24-10-2018 Raja Rani Episode 367 Vijay TV Program,https://s1-ssl.dmcdn.net/v/OrPHk1SwoJpTgSdwm,plugin://plugin.video.dailymotion_com/?url=k3x4D8h2t4dBSgscdMW&mode=playVideo,Raja Rani
20181025-25-10-2018 Raja Rani Episode 368 Vijay TV Program,https://s1-ssl.dmcdn.net/v/OrwbG1SwmxSCsGceP,plugin://plugin.video.dailymotion_com/?url=k3Uef9Ux57lpXzscNhe&mode=playVideo,Raja Rani
20181026-26-10-2018 Raja Rani Episode 369 Vijay TV Program,https://s2-ssl.dmcdn.net/v/OsB8Y1SwoJiBWjfRj,plugin://plugin.video.dailymotion_com/?url=k7wdP3eRZfmCKmsd4UG&mode=playVideo,Raja Rani
20181029-29-10-2018 Raja Rani Episode 370 Vijay TV Program,https://s1-ssl.dmcdn.net/v/OtRer1SwoJCppjVQV,plugin://plugin.video.dailymotion_com/?url=k2eaOOTlAW52x3sesHb&mode=playVideo,Raja Rani
20181030-30-10-2018 Raja Rani Episode 371 Vijay TV Program,https://s1-ssl.dmcdn.net/v/Otnll1SwoJ9GSpJPq,plugin://plugin.video.dailymotion_com/?url=k3iHIuVkFtEMBSseQfJ&mode=playVideo,Raja Rani
20181031-31-10-2018 Raja Rani Episode 372 Vijay TV Program,https://s1-ssl.dmcdn.net/v/Ou3oy1SwoJ6xQ3tG8,plugin://plugin.video.dailymotion_com/?url=k5vp1UXOYHHurYsf9uc&mode=playVideo,Raja Rani
