Serial Episode, Thumbnail Link, Video Link, Genre
1 - Siva Manasula Sakthi 21-01-2019 Vijay TV Episode 01,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k1jtrcFVKsA5xDsLm5m&mode=playVideo,Siva Manasula Sakthi
2 - Siva Manasula Sakthi 22-01-2019 Vijay TV Episode 02,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k6dyjNR6iNwNfVsLMdE&mode=playVideo,Siva Manasula Sakthi
3 - Siva Manasula Sakthi 23-01-2019 Vijay TV Episode 03,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k2wrDNCe6Rhb2ksMcMs&mode=playVideo,Siva Manasula Sakthi
4 - Siva Manasula Sakthi 24-01-2019 Vijay TV Episode 04,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k2iY0D4f6gP2pFsMLza&mode=playVideo,Siva Manasula Sakthi
5 - Siva Manasula Sakthi 25-01-2019 Vijay TV Episode 05,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k2ZwhDXXdtPNQXsN9az&mode=playVideo,Siva Manasula Sakthi
6 - Siva Manasula Sakthi 26-01-2019 Vijay TV Episode 06,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k4ZxNDeLawdYjGsNpdq&mode=playVideo,Siva Manasula Sakthi
7 - Siva Manasula Sakthi 28-01-2019 Vijay TV Episode 07,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k2knheD6lYrJlhsOd7R&mode=playVideo,Siva Manasula Sakthi
8 - Siva Manasula Sakthi 29-01-2019 Vijay TV Episode 08,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k5EUVoUVZMsAeAsOJkP&mode=playVideo,Siva Manasula Sakthi
9 - Siva Manasula Sakthi 30-01-2019 Vijay TV Episode 09,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=kxRfUEhmMoEcXmsPbkE&mode=playVideo,Siva Manasula Sakthi
10 - Siva Manasula Sakthi 31-01-2019 Vijay TV Episode 10,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k2RwfxXCLlP1AbsPxKu&mode=playVideo,Siva Manasula Sakthi
11 - Siva Manasula Sakthi 01-02-2019 Vijay TV Episode 11,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=ktVP6gc4x2QFCHsPTe1&mode=playVideo,Siva Manasula Sakthi
12 - Siva Manasula Sakthi 02-02-2019 Vijay TV Episode 12,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k1GmbpDEzdxRyvsQf4D&mode=playVideo,Siva Manasula Sakthi
13 - Siva Manasula Sakthi 04-02-2019 Vijay TV Episode 13,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k7ExqeNQQrxnE9sR61j&mode=playVideo,Siva Manasula Sakthi
14 - Siva Manasula Sakthi 05-02-2019 Vijay TV Episode 14,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k61eSzG0dAmLMTsRtId&mode=playVideo,Siva Manasula Sakthi
15 - Siva Manasula Sakthi 06-02-2019 Vijay TV Episode 15,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k6euCrbSUjaATUsRXlf&mode=playVideo,Siva Manasula Sakthi
16 - Siva Manasula Sakthi 07-02-2019 Vijay TV Episode 16,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k6oIrj5OQbv7PMsSm7N&mode=playVideo,Siva Manasula Sakthi
17 - Siva Manasula Sakthi 08-02-2019 Vijay TV Episode 17,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k4Xr5KIK60KQyasSEM7&mode=playVideo,Siva Manasula Sakthi
18 - Siva Manasula Sakthi 09-02-2019 Vijay TV Episode 18,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k2GfXKqEDEwSz2sT18z&mode=playVideo,Siva Manasula Sakthi
19 - Siva Manasula Sakthi 11-02-2019 Vijay TV Episode 19,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k2zaZ4LOps6unpsTSL6&mode=playVideo,Siva Manasula Sakthi
20 - Siva Manasula Sakthi 12-02-2019 Vijay TV Episode 20,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k3HMoXNRYi7KwBsUkbN&mode=playVideo,Siva Manasula Sakthi
21 - Siva Manasula Sakthi 13-02-2019 Vijay TV Episode 21,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k1NA2nnCFGNQfVsUFu6&mode=playVideo,Siva Manasula Sakthi
22 - Siva Manasula Sakthi 14-02-2019 Vijay TV Episode 22,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k7j8SW8pIMa6LysV42a&mode=playVideo,Siva Manasula Sakthi
23 - Siva Manasula Sakthi 15-02-2019 Vijay TV Episode 23,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k1WJjpAWGzq0GksVrfF&mode=playVideo,Siva Manasula Sakthi
24 - Siva Manasula Sakthi 16-02-2019 Vijay TV Episode 24,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k5yaUm9SdX4uJlsVLk0&mode=playVideo,Siva Manasula Sakthi
25 - Siva Manasula Sakthi 18-02-2019 Vijay TV Episode 25,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=kzcX0yDY9U7NudsWxcW&mode=playVideo,Siva Manasula Sakthi
26 - Siva Manasula Sakthi 19-02-2019 Vijay TV Episode 26,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k6QyQC7FlXhbkvsWYtC&mode=playVideo,Siva Manasula Sakthi
27 - Siva Manasula Sakthi 20-02-2019 Vijay TV Episode 27,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=kjXLcpN6EYqVMXsXros&mode=playVideo,Siva Manasula Sakthi
28 - Siva Manasula Sakthi 21-02-2019 Vijay TV Episode 28,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k3DI5Ii2D7dpPhsXHOn&mode=playVideo,Siva Manasula Sakthi
29 - Siva Manasula Sakthi 22-02-2019 Vijay TV Episode 29,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k4fuRY0O1CUIAasYkwQ&mode=playVideo,Siva Manasula Sakthi
30 - Siva Manasula Sakthi 23-02-2019 Vijay TV Episode 30,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=x72wwxn&mode=playVideo,Siva Manasula Sakthi
31 - Siva Manasula Sakthi 25-02-2019 Vijay TV Episode 31,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k54mErvl0RtxDAsZppm&mode=playVideo,Siva Manasula Sakthi
32 - Siva Manasula Sakthi 26-02-2019 Vijay TV Episode 32,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k3keo5XqlJj5lYsZMLN&mode=playVideo,Siva Manasula Sakthi
33 - Siva Manasula Sakthi 27-02-2019 Vijay TV Episode 33,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k2nzPAY0GvM7bet0cj8&mode=playVideo,Siva Manasula Sakthi
34 - Siva Manasula Sakthi 28-02-2019 Vijay TV Episode 34,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k4dw8LqI27rWiyt0veb&mode=playVideo,Siva Manasula Sakthi
35 - Siva Manasula Sakthi 01-03-2019 Vijay TV Episode 35,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k4Ttmd3XkQpQ6tt1qiW&mode=playVideo,Siva Manasula Sakthi
36 - Siva Manasula Sakthi 02-03-2019 Vijay TV Episode 36,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=x73f131&mode=playVideo,Siva Manasula Sakthi
37 - Siva Manasula Sakthi 05-03-2019 Vijay TV Episode 38,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k4at7Ghl3JjdNXt3ccy&mode=playVideo,Siva Manasula Sakthi
38 - Siva Manasula Sakthi 06-03-2019 Vijay TV Episode 39,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k7W2YcyGsNU224t3zaK&mode=playVideo,Siva Manasula Sakthi
39 - Siva Manasula Sakthi 07-03-2019 Vijay TV Episode 40,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k7aR2XjSNdt8aqt41R4&mode=playVideo,Siva Manasula Sakthi
40 - Siva Manasula Sakthi 08-03-2019 Vijay TV Episode 41,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=x73qw0f&mode=playVideo,Siva Manasula Sakthi
41 - Siva Manasula Sakthi 09-03-2019 Vijay TV Episode 42,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k3MOlAcOa6mu6gt54gO&mode=playVideo,Siva Manasula Sakthi
42 - Siva Manasula Sakthi 11-03-2019 Vijay TV Episode 43,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k4WS3dleAVxmPDt6aQ4&mode=playVideo,Siva Manasula Sakthi
